country_code,level1_en,level2_en,level3_en,level1_vi,level2_vi,level3_vi
VN,Ha Noi,Son Tay Town,Phu Thinh Ward,Hà Nội,Thị xã Sơn Tây,Phường Phú Thịnh
VN,Ha Noi,Son Tay Town,Ngo Quyen Ward,Hà Nội,Thị xã Sơn Tây,Phường Ngô Quyền
VN,Ha Noi,Son Tay Town,Quang Trung Ward,Hà Nội,Thị xã Sơn Tây,Phường Quang Trung
VN,Ha Noi,Son Tay Town,Son Loc Ward,Hà Nội,Thị xã Sơn Tây,Phường Sơn Lộc
VN,Ha Noi,Son Tay Town,Xuan Khanh Ward,Hà Nội,Thị xã Sơn Tây,Phường Xuân Khanh
VN,Ha Noi,Son Tay Town,Duong Lam Ward,Hà Nội,Thị xã Sơn Tây,Xã Đường Lâm
VN,Ha Noi,Son Tay Town,Vien Son Ward,Hà Nội,Thị xã Sơn Tây,Phường Viên Sơn
VN,Ha Noi,Son Tay Town,Xuan Son Ward,Hà Nội,Thị xã Sơn Tây,Xã Xuân Sơn
VN,Ha Noi,Son Tay Town,Trung Hung Ward,Hà Nội,Thị xã Sơn Tây,Phường Trung Hưng
VN,Ha Noi,Son Tay Town,Thanh My Ward,Hà Nội,Thị xã Sơn Tây,Xã Thanh Mỹ
VN,Ha Noi,Son Tay Town,Trung Son Tram Ward,Hà Nội,Thị xã Sơn Tây,Phường Trung Sơn Trầm
VN,Ha Noi,Son Tay Town,Kim Son Ward,Hà Nội,Thị xã Sơn Tây,Xã Kim Sơn
VN,Ha Noi,Son Tay Town,Son Dong Ward,Hà Nội,Thị xã Sơn Tây,Xã Sơn Đông
VN,Ha Noi,Son Tay Town,Co Dong Ward,Hà Nội,Thị xã Sơn Tây,Xã Cổ Đông
VN,Phu Yen,Song Cau Town,Xuan Phu Ward,Phú Yên,Thị xã Sông Cầu,Phường Xuân Phú
VN,Phu Yen,Song Cau Town,Xuan Lam Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Lâm
VN,Phu Yen,Song Cau Town,Xuan Thanh Ward,Phú Yên,Thị xã Sông Cầu,Phường Xuân Thành
VN,Phu Yen,Song Cau Town,Xuan Hai Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Hải
VN,Phu Yen,Song Cau Town,Xuan Loc Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Lộc
VN,Phu Yen,Song Cau Town,Xuan Binh Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Bình
VN,Phu Yen,Song Cau Town,Xuan Canh Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Cảnh
VN,Phu Yen,Song Cau Town,Xuan Thinh Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Thịnh
VN,Phu Yen,Song Cau Town,Xuan Phuong Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Phương
VN,Phu Yen,Song Cau Town,Xuan Yen Ward,Phú Yên,Thị xã Sông Cầu,Phường Xuân Yên
VN,Phu Yen,Song Cau Town,Xuan Tho 1 Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Thọ 1
VN,Phu Yen,Song Cau Town,Xuan Dai Ward,Phú Yên,Thị xã Sông Cầu,Phường Xuân Đài
VN,Phu Yen,Song Cau Town,Xuan Tho 2 Ward,Phú Yên,Thị xã Sông Cầu,Xã Xuân Thọ 2
VN,Lao Cai,Sa Pa Town,Sa Pa Ward,Lào Cai,Thị xã Sa Pa,Phường Sa Pa
VN,Lao Cai,Sa Pa Town,Sa Pa Ward,Lào Cai,Thị xã Sa Pa,Phường Sa Pả
VN,Lao Cai,Sa Pa Town,O Quy Ho Ward,Lào Cai,Thị xã Sa Pa,Phường Ô Quý Hồ
VN,Lao Cai,Sa Pa Town,Ngu Chi Son Ward,Lào Cai,Thị xã Sa Pa,Xã Ngũ Chỉ Sơn
VN,Lao Cai,Sa Pa Town,Phan Si Pang Ward,Lào Cai,Thị xã Sa Pa,Phường Phan Si Păng
VN,Lao Cai,Sa Pa Town,Trung Chai Ward,Lào Cai,Thị xã Sa Pa,Xã Trung Chải
VN,Lao Cai,Sa Pa Town,Ta Phin Ward,Lào Cai,Thị xã Sa Pa,Xã Tả Phìn
VN,Lao Cai,Sa Pa Town,Ham Rong Ward,Lào Cai,Thị xã Sa Pa,Phường Hàm Rồng
VN,Lao Cai,Sa Pa Town,Hoang Lien Ward,Lào Cai,Thị xã Sa Pa,Xã Hoàng Liên
VN,Lao Cai,Sa Pa Town,Thanh Binh Ward,Lào Cai,Thị xã Sa Pa,Xã Thanh Bình
VN,Lao Cai,Sa Pa Town,Cau May Ward,Lào Cai,Thị xã Sa Pa,Phường Cầu Mây
VN,Lao Cai,Sa Pa Town,Muong Hoa Ward,Lào Cai,Thị xã Sa Pa,Xã Mường Hoa
VN,Lao Cai,Sa Pa Town,Ta Van Ward,Lào Cai,Thị xã Sa Pa,Xã Tả Van
VN,Lao Cai,Sa Pa Town,Muong Bo Ward,Lào Cai,Thị xã Sa Pa,Xã Mường Bo
VN,Lao Cai,Sa Pa Town,Ban Ho Ward,Lào Cai,Thị xã Sa Pa,Xã Bản Hồ
VN,Lao Cai,Sa Pa Town,Lien Minh Ward,Lào Cai,Thị xã Sa Pa,Xã Liên Minh
VN,Quang Ninh,Quang Yen Town,Quang Yen Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Quảng Yên
VN,Quang Ninh,Quang Yen Town,Dong Mai Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Đông Mai
VN,Quang Ninh,Quang Yen Town,Minh Thanh Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Minh Thành
VN,Quang Ninh,Quang Yen Town,Song Khoai Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Sông Khoai
VN,Quang Ninh,Quang Yen Town,Hiep Hoa Ward,Quảng Ninh,Thị xã Quảng Yên,Xã Hiệp Hòa
VN,Quang Ninh,Quang Yen Town,Cong Hoa Ward,Quảng Ninh,Thị xã Quảng Yên,Phường Cộng Hòa
